


ESTU_GENERO
ESTU_FECHANACIMIENTO
ESTU_ESTUDIANTE
FAMI_ESTRATOVIVIENDA
ESTU_DEDICACIONLECTURADIARIA
ESTU_DEDICACIONINTERNET
COLE_GENERO
COLE_NATURALEZA
COLE_CALENDARIO
COLE_BILINGUE
COLE_CARACTER
COLE_JORNADA
DESEMP_LECTURA_CRITICA
DESEMP_MATEMATICAS
DESEMP_C_NATURALES
DESEMP_SOCIALES_CIUDADANAS
DESEMP_INGLES
PUNT_GLOBAL
